source_zone,target_zone,shared_event_weight
Alnavar,BAGALKOT,8
BAGALKOT,Enercon,7
BAGALKOT,Koppal,18
BAGALKOT,Narendra,103
BENGALORE,Hebbani,1
Banavara,HASSAN,17
HASSAN,Kittadahalli,37
HASSAN,Honnalli,53
Aheri,BAGALKOT,30
BENGALORE,Kushtagi,1
BAGALKOT,Raibagh,32
BAGALKOT,Rattihalli,27
BAGALKOT,Enercon Bellati,6
BAGALKOT,Laxmeshwar,28
BAGALKOT,Hukkeri,51
BAGALKOT,Malghan,41
BAGALKOT,Betageri,6
BAGALKOT,Naregal,8
BAGALKOT,Bhutnal,3
BAGALKOT,Tikota,22
BAGALKOT,Shiggoan,56
BAGALKOT,Balligavi,4
HASSAN,Kavoor,126
HASSAN,Hiriyadka,34
HASSAN,Hulikal,8
BAGALKOT,Sadalaga,42
BAGALKOT,Doni,31
BENGALORE,Mudiyanur,1
BENGALORE,Tubinakere,25
HASSAN,Salagame,62
BAGALKOT,Shiraguppi,15
BENGALORE,C Station,2
BENGALORE,Dibburahalli,3
BENGALORE,Bidadi,9
HASSAN,Mudigere,38
HASSAN,Kaduru,238
HASSAN,UPCL,15
Hosakere,MYSORE,2
Ankali,BAGALKOT,13
BENGALORE,Manyata,7
Austin Town Substation,BENGALORE,3
BAGALKOT,Itnal,35
BENGALORE,Somanahalli Substation,3
BAGALKOT,Ilakal,3
BENGALORE,Jadigenahalli,2
BENGALORE,BG Road,6
BENGALORE,Subramanyapura Substation,2
Anekal,BENGALORE,3
Ainapur,BAGALKOT,15
HASSAN,Shikaripura,32
Kunigal,MYSORE,1
BAGALKOT,Nidagundi,12
BAGALKOT,Gokak,26
BAGALKOT,Dambal,63
BAGALKOT,Jamakhandi,21
Haluvagilu,MYSORE,1
BAGALKOT,Indi,12
BAGALKOT,Bijapur,24
BAGALKOT,Kadanakoppa,32
BAGALKOT,Vadgaon,8
BAGALKOT,MK Hubli,35
BAGALKOT,Zhalki,64
BAGALKOT,Daddi,11
BAGALKOT,Ronihal,4
BAGALKOT,Takalaki,28
BENGALORE,Hoskote,3
BENGALORE,Santhpur,1
Chimangala,MYSORE,1
BAGALKOT,Ramankoppa,15
BAGALKOT,Mughalkod,57
BENGALORE,Padmanabha Nagar Substation,4
BENGALORE,REMCO,2
HASSAN,Shimoga,38
Gandasi,HASSAN,15
MYSORE,Tumkur,5
BENGALORE,Ganjigunte,4
BENGALORE,Surya City,2
BENGALORE,Mittemari,4
BENGALORE,Lingasugur,1
BENGALORE,Platinum City Power Station,2
BAGALKOT,Hanagal,15
Alabal,BAGALKOT,13
HASSAN,Siddapura,1
Kittur,MYSORE,7
Tumkur,nan,214
Hariyabbe,nan,4
Arasikere,nan,1
Nelamangala,nan,1
BAGALKOT,Terdal,25
Ankola,BAGALKOT,31
BENGALORE,Kolar Sub Station,2
BENGALORE,Channapatna,1
BENGALORE,Vajamangala,5
BAGALKOT,Siddapura,4
BAGALKOT,Shirgaon,1
BAGALKOT,Khadaklat,17
BAGALKOT,Toravi,3
BAGALKOT,Bellubbi,2
BAGALKOT,Kanbargi,17
BAGALKOT,Kulagod,1
BENGALORE,Bangarapete,5
BENGALORE,Jayadeva,1
Benkikere,MYSORE,1
BAGALKOT,Kerur,64
BENGALORE,Iggaluru,2
MYSORE,Sira,1
BAGALKOT,Khanapur,5
Hirisave,MYSORE,2
MYSORE,Nagasamudra,1
BAGALKOT,Suvarna Soudha,28
BAGALKOT,Yaragatti,13
BAGALKOT,Udakeri,2
BENGALORE,Kumbalagodu,2
BENGALORE,Sira,2
BENGALORE,Raichur,1
KHB Yelahanka,MYSORE,10
Aditya Birla Solar,BAGALKOT,2
BAGALKOT,Badami,2
BAGALKOT,Konnur,12
BAGALKOT,Bidi,7
BAGALKOT,Ramadurga,14
BENGALORE,Gudekote,1
Gurupura,HASSAN,24
BAGALKOT,Halyal,16
BAGALKOT,Basavanakatti,18
BAGALKOT,Yallammanawadi,24
BAGALKOT,Karwar,46
BAGALKOT,Kanagala,15
BAGALKOT,Mahalingapura,68
Adugodi Substation,BENGALORE,1
BAGALKOT,Umachagi,14
BENGALORE,Mathikere,1
HASSAN,Suzlon,14
BAGALKOT,Sindagi KEB substation,7
BAGALKOT,Jamkhandi Sugars,18
BENGALORE,Ujani,1
BAGALKOT,Mukarthihal,8
BAGALKOT,Hunagund,21
BENGALORE,HMT,1
BENGALORE,Bagmane WTC,1
Avanti,BENGALORE,1
HASSAN,Kundapura,17
MYSORE,Madhugiri,1
BAGALKOT,Singatalur,5
BANGALORE,Gulbarga,47
Bylakuppe,HASSAN,1
Arehalli,BANGALORE,18
BANGALORE,Budikote,3
Adani Solar,BANGALORE,3
HASSAN,Hosangadi,18
HASSAN,Ramapura,1
Hullenahalli,TUMKUR,3
BAGALKOT,Bijapur City,13
BANGALORE,Maralavadi,24
BANGALORE,Electronic City Phase 2,10
BANGALORE,Dibburahalli,14
BANGALORE,Raichur,2
Hadavanahalli,TUMKUR,8
Aigali,BAGALKOT,9
BAGALKOT,Kudal Sangam,5
BANGALORE,Chelur,2
HASSAN,Manipal,52
HASSAN,Talaguppa,7
BAGALKOT,Muddebihal,24
Rangenahalli,TUMKUR,21
HASSAN,Meghalapura,1
Kunigal,TUMKUR,17
TUMKUR,Tyavaagi,61
Huliyar,TUMKUR,3
BAGALKOT,Bydagi,10
BANGALORE,Shahapur,1
Arehalli,HASSAN,12
Bhaktarahalli,TUMKUR,8
Chowdanakuppe,TUMKUR,7
Kalamaranahalli,TUMKUR,17
BAGALKOT,Kagwad,5
BANGALORE,Mallat,4
BANGALORE,Kolar Sub Station,37
HASSAN,Honnavalli,13
Bettadapura,HASSAN,1
KIADB Substation,TUMKUR,10
BAGALKOT,Todalbagi,9
BAGALKOT,Kavalwad,8
Belur,HASSAN,15
Nayakana Hatti,TUMKUR,8
BANGALORE,Kudligi,5
TUMKUR,Tumkur,18
Bhanuvalli,TUMKUR,29
BAGALKOT,Ugar Sugars,2
BAGALKOT,Sankeshwara,14
BANGALORE,Gudekote,2
BAGALKOT,Nargund,9
HASSAN,Soraba,22
Chimangala,TUMKUR,5
BAGALKOT,Suzlon,1
BAGALKOT,Devanagaon,1
BAGALKOT,Yadawad,4
Anavatti,HASSAN,8
HASSAN,Honnali,13
MYSORE,Panniyadhundai,7
Bargur,HASSAN,17
HASSAN,Sathenahalli,5
Balligavi,HASSAN,2
Bannur,MYSORE,26
BAGALKOT,Dhavleshwar,1
BAGALKOT,Shirhatti,3
BANGALORE,Godur,5
HASSAN,Kallusadarahalli,3
Guddenahalli,MYSORE,11
Hosakere,TUMKUR,9
BAGALKOT,Mudhol,8
BANGALORE,Humnabad,1
HASSAN,Madhuvana,24
BAGALKOT,Satti,3
BANGALORE,Kogli,1
BAGALKOT,Devaragennur,3
BAGALKOT,Mamdapurar,1
BAGALKOT,Tarihal,8
BANGALORE,Mittemari,27
BANGALORE,Halbarga,2
BANGALORE,Sovenahalli,9
HASSAN,Hagare,8
Bettadapura,MYSORE,10
BAGALKOT,Hirebagewadi,12
BAGALKOT,Ugar,16
BAGALKOT,Mundaganura,1
BAGALKOT,Masuti,3
Arasikere,HASSAN,4
BAGALKOT,Guledagudda,6
Balenahalli,TUMKUR,20
HASSAN,Nagenahalli,13
Hebbal Substation,MYSORE,9
Hosur Gate,MYSORE,6
BAGALKOT,Mudalgi,4
Chitradurga Traction,nan,3
Kadaba,nan,3
Shimoga,nan,1
Madhugiri,nan,5
HASSAN,Karkala,26
Antharasanahalli,nan,3
BAGALKOT,Gamesha Ron,1
BANGALORE,Ujani,1
Bargur,nan,1
Bhaktarahalli,nan,1
Challakere,nan,4
Hosadurga,nan,1
Ramapura,nan,3
Hiriyuru,nan,2
BANGALORE,Venkatagiri,2
Atria,MYSORE,2
Kunigal,nan,1
Doddaguni,nan,1
Gubbi,nan,1
BAGALKOT,Savalagi,5
Bhanuvalli,nan,1
Kallur,nan,1
Haveri,nan,1
BAGALKOTE LINE,nan,314
Atharga,BAGALKOTE LINE,26
BAGALKOTE LINE,Babaleshwar,21
BAGALKOTE LINE,Mamadapura,12
BAGALKOTE LINE,Kanbargi,28
BAGALKOTE LINE,Dambal,19
BAGALKOTE LINE,Gadag,5
BAGALKOTE LINE,Gokak,4
BAGALKOTE LINE,Gopankoppa,2
BAGALKOTE LINE,Ghataprabha,17
BAGALKOTE LINE,Hirebevanura,1
BAGALKOTE LINE,Hubli,27
BAGALKOTE LINE,Kalaghatagi,1
BAGALKOTE LINE,Udyambag,30
BAGALKOTE LINE,Ronihal,3
BAGALKOTE LINE,Sankeshwara,4
BAGALKOTE LINE,Jamakhandi,7
BAGALKOTE LINE,Mahalingapura,34
BAGALKOTE TRANSFORMER,Bisnal,3
BAGALKOTE TRANSFORMER,nan,100
Alnavar,BAGALKOTE TRANSFORMER,3
BAGALKOTE TRANSFORMER,Zhalki,14
BENGALURU LINE,Budigere,5
BENGALURU LINE,nan,659
BENGALURU LINE,HMT,2
BENGALURU LINE,REMCO,7
BENGALURU LINE,Hebbal Substation,3
BENGALURU TRANSFORMER,nan,423
BENGALURU TRANSFORMER,Sovenahalli,5
HASSAN LINE,nan,412
HASSAN LINE,Sathenahalli,2
HASSAN LINE,Kavoor,15
HASSAN LINE,Puttur,10
HASSAN TRANSFORMER,nan,239
HASSAN TRANSFORMER,Puttur,1
Benkikere,TUMKUR LINE,31
TUMKUR LINE,Tyavaagi,13
Kundur,TUMKUR LINE,7
TUMKUR LINE,nan,194
Madhugiri,TUMKUR LINE,16
Hariyabbe,TUMKUR LINE,10
Kaiga,TUMKUR LINE,2
TUMKUR TRANSFORMER,nan,56
BAGALKOTE LINE,Badami,1
BAGALKOTE LINE,Kulgeri Cross,11
BAGALKOTE LINE,Bhutnal,1
BAGALKOTE LINE,Tikota,2
BAGALKOTE LINE,Doni,3
BAGALKOTE LINE,Karwar,5
BAGALKOTE LINE,Bidnal,7
BAGALKOTE LINE,Shiggoan,3
BAGALKOTE LINE,Narendra,15
BAGALKOTE TRANSFORMER,Itnal,2
BAGALKOTE TRANSFORMER,Chikkodi,6
BAGALKOTE TRANSFORMER,Gopankoppa,2
BAGALKOTE TRANSFORMER,Sindagi KEB substation,4
BAGALKOTE TRANSFORMER,MK Hubli,3
BAGALKOTE TRANSFORMER,Tikota,1
BENGALURU LINE,Manyata,11
BENGALURU LINE,Bangarapete,3
BENGALURU LINE,Dibburahalli,11
Anavatti,HASSAN LINE,2
HASSAN LINE,Kaduru,15
HASSAN LINE,Konaje,12
HASSAN LINE,Kundapura,2
HASSAN TRANSFORMER,KR Nagar,1
Amruthur,TUMKUR LINE,2
Chowdanakuppe,TUMKUR LINE,3
Rangenahalli,TUMKUR LINE,8
Honnalli,TUMKUR LINE,24
Jagalur,TUMKUR LINE,1
Chitradurga Traction,TUMKUR TRANSFORMER,4
Lingadahalli,TUMKUR TRANSFORMER,3
Sira,TUMKUR TRANSFORMER,1
Ankali,BAGALKOTE TRANSFORMER,2
BENGALURU LINE,Vidyanagar,4
BENGALURU LINE,Hoskote,3
BENGALURU LINE,Mulbagal,15
BENGALURU TRANSFORMER,Bellary North,2
Bandihalli,HASSAN TRANSFORMER,1
Hosadurga,TUMKUR LINE,11
Nayakana Hatti,TUMKUR LINE,5
Benkikere,TUMKUR TRANSFORMER,1
BAGALKOTE LINE,Bijapur,6
BAGALKOTE LINE,Kumta,3
BAGALKOTE LINE,Mughalkod,4
BAGALKOTE LINE,Savanur,1
Ambewadi,BAGALKOTE LINE,9
BAGALKOTE LINE,Ranebennuru,14
BAGALKOTE TRANSFORMER,Sadalaga,1
BAGALKOTE TRANSFORMER,Bijapur,4
BENGALURU LINE,Pathapalya,4
Abbigere,BENGALURU LINE,2
BENGALURU TRANSFORMER,Gulbarga,7
HASSAN LINE,Lingadahalli,2
HASSAN LINE,Kittadahalli,4
HASSAN LINE,Shikaripura,2
TUMKUR LINE,Tumkur,5
Nelamangala,TUMKUR LINE,2
Hiriyuru,TUMKUR TRANSFORMER,6
BAGALKOTE LINE,Vajramatti,11
BAGALKOTE TRANSFORMER,Sirasi,5
BENGALURU LINE,Ganjigunte,10
BENGALURU LINE,Tamaka,7
BENGALURU LINE,Soladevanahalli,1
BENGALURU TRANSFORMER,Janawada,1
HASSAN LINE,Hassan,12
HASSAN TRANSFORMER,Sargur,1
Davanagere,TUMKUR LINE,5
Bandihalli,TUMKUR LINE,4
Sira,TUMKUR LINE,4
BENGALURU LINE,Bagmane WTC,3
BENGALURU LINE,Kolar Sub Station,6
Anekal,BENGALURU LINE,3
BENGALURU LINE,Budikote,1
BENGALURU LINE,Pavagada,1
BENGALURU TRANSFORMER,Gulbarga West,1
Gurupura,HASSAN LINE,1
HASSAN LINE,Karkala,2
HASSAN LINE,Manipal,12
HASSAN LINE,Hiriyadka,3
Challakere,TUMKUR LINE,11
Pavagada,TUMKUR LINE,1
Antharasanahalli,TUMKUR TRANSFORMER,1
BENGALURU LINE,BG Road,4
Arehalli,BENGALURU LINE,2
